date,user,comment
12-11-2017T00:10:59,Bgrmystr2,Lol yeah stream is way over
12-11-2017T00:11:07,Bgrmystr2,"I'm late, but whatever :v"
12-11-2017T00:54:16,Twokinds,I'm still drawing. Just not streaming.
12-11-2017T00:55:43,unsteddyphoenix,"Oh? Doing another sketch, or something else?"
12-11-2017T01:00:30,BluePhantom90,well gtg. but hope to see more sketches Tom. but night all
12-11-2017T01:10:08,Twokinds,I am converting all the old files into book files
12-11-2017T01:10:13,Twokinds,For Book 4
12-11-2017T01:11:39,Twokinds,It's a lot of work.
12-11-2017T01:11:43,iliar,You redraw some pages or just converting?
12-11-2017T01:11:43,Kinipshun,ooooh
12-11-2017T01:12:06,Kinipshun,i really want to buy the books
12-11-2017T01:12:23,Twokinds,"No redrawing for the most part, but a lot of upscaling, a lot of redoing of text and speech bubbles"
12-11-2017T01:12:39,Twokinds,Some backgrounds are improved.
12-11-2017T01:12:48,unsteddyphoenix,"It's correctly formatted for book form already, right?"
12-11-2017T01:12:49,Kinipshun,what resolution do you use for the books?
12-11-2017T01:13:20,Twokinds,300dpi
12-11-2017T01:13:34,Twokinds,"What do you mean, what is corrected formatted for book form already?"
12-11-2017T01:13:51,Twokinds,The old files unfortunately for a long time were 200dpi.
12-11-2017T01:13:59,Twokinds,So I have a lot of work.
12-11-2017T01:14:06,Kinipshun,is that waht it is on keenspot?
12-11-2017T01:14:48,Twokinds,I don't know what you mean.
12-11-2017T01:15:03,Twokinds,Yes?
12-11-2017T01:15:30,Kinipshun,i mean is that the dpi for the comic on keenspot or the books printed in the past?
12-11-2017T01:15:46,Twokinds,It's my files.
12-11-2017T01:15:50,Twokinds,My original photoshop files.
12-11-2017T01:15:55,Kinipshun,oh
12-11-2017T01:15:56,Kinipshun,OH
12-11-2017T01:18:04,unsteddyphoenix,"Hm, nvm, ignore me. More importantly, how much have you converted so far?"
12-11-2017T01:19:42,iliar,About upscaling. Do you know about waifu2x? This program gives a better result than Photoshop.
