,date,user,comment
101,2017-12-30 15:32:39,Twokinds,AAAAAAA
397,2017-12-30 16:11:22,Twokinds,#1 won  by a mile
404,2017-12-30 16:11:34,Twokinds,I don't have the exact numbers here
409,2017-12-30 16:11:45,Twokinds,"And I didn't have runner ups listed this time, I forgot to put them in xD"
415,2017-12-30 16:11:57,Twokinds,"Everyone did well though, cause there wasn't a lot of options."
442,2017-12-30 16:13:10,Twokinds,"Darn it, I keep forgetting to change the color settings for my stream"
446,2017-12-30 16:13:18,Twokinds,It's oversaturated but I can't fix that now
811,2017-12-30 16:45:16,Twokinds,brb
835,2017-12-30 16:48:13,Twokinds,"Back, sorry."
907,2017-12-30 16:59:18,Twokinds,HI COMBAK!!!!!!!!!!!!!!!!!
963,2017-12-30 17:04:07,Twokinds,Roast dragon
1073,2017-12-30 17:14:09,Twokinds,I smell curry
1197,2017-12-30 17:27:11,Twokinds,"I forget what mistletoe looks like, so I sure hope it's something like this."
1385,2017-12-30 17:50:34,Twokinds,Done
1402,2017-12-30 17:51:45,Twokinds,I'm gunna get some curry and brb
2067,2017-12-30 19:09:07,Twokinds,brb
2073,2017-12-30 19:10:10,Twokinds,back
2126,2017-12-30 19:16:16,Twokinds,Done
2661,2017-12-30 20:09:15,Twokinds,Natani 200 lbs
2674,2017-12-30 20:10:01,Twokinds,80% muscle 20% breasts
3073,2017-12-30 20:44:06,Twokinds,Done
3107,2017-12-30 20:46:23,Twokinds,I am feeling a bit tired
3111,2017-12-30 20:46:41,Twokinds,I think I'll do these tomorrow.
3129,2017-12-30 20:47:11,Twokinds,Thanks for joining me tonight!
3130,2017-12-30 20:47:16,Twokinds,Happy New Year everyone
3171,2017-12-30 20:48:22,Twokinds,G'night everyone!
3203,2017-12-30 20:51:01,Twokinds,vanishes
3400,2017-12-30 23:02:44,Twokinds,Of course she's going to have more than one. She needs to populate an entire new species.
3406,2017-12-30 23:03:13,Twokinds,More like a broodmother.
0,2017-12-31 00:00:02,Twokinds,:ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance:
13,2017-12-31 00:00:56,Twokinds,Happy New Year everybody
41,2017-12-31 00:03:48,Twokinds,Time to get to work.
48,2017-12-31 00:04:12,Twokinds,On 2018
226,2017-12-31 14:18:03,Twokinds,Good morning everybody!
227,2017-12-31 14:18:23,Twokinds,"Aaah, 2018, I can feel it. So different."
228,2017-12-31 14:18:34,Twokinds,This is gunna be a good year.
230,2017-12-31 14:20:52,Twokinds,Ah!
301,2017-12-31 19:19:14,Twokinds,It's so cold
302,2017-12-31 19:19:26,Twokinds,I had to break out the space heater to warm up my hands to draw.
308,2017-12-31 19:21:10,Twokinds,-16 C
317,2017-12-31 19:22:24,Twokinds,Yeah
396,2017-12-31 23:09:32,Twokinds,There's never enough time
581,2018-01-01 23:49:27,Twokinds,Y'all ready?
646,2018-01-01 23:55:33,Twokinds,One second
650,2018-01-01 23:55:47,Twokinds,I started some anime but it's in Japanese and I can't look at the screen...
662,2018-01-01 23:56:33,Twokinds,Mushi-shi
190,2018-01-02 00:20:00,Twokinds,I wish I could draw too
794,2018-01-02 01:27:37,Twokinds,I had ramen for dinner
809,2018-01-02 01:28:32,Twokinds,Done-io
946,2018-01-02 01:46:40,Twokinds,Hi Sage!
1349,2018-01-02 02:51:31,Twokinds,Done
1452,2018-01-02 02:56:16,Twokinds,Alrighty that's it for tonight!
1454,2018-01-02 02:56:20,Twokinds,All 5 now done
1479,2018-01-02 02:57:16,Twokinds,Byebye!
1643,2018-01-02 20:36:52,Twokinds,It's pretty rad
1758,2018-01-02 20:58:03,Twokinds,"I don't have the next page ready, so no stream for now."
25,2018-01-03 03:24:17,Twokinds,"Next page is finished sketching.,"
31,2018-01-03 03:40:04,Twokinds,tomarra
34,2018-01-03 03:49:49,Twokinds,3am
253,2018-01-03 17:54:38,Twokinds,Time to start
264,2018-01-03 17:59:28,Twokinds,hello
283,2018-01-03 18:00:37,Twokinds,Huh. How about now?
288,2018-01-03 18:01:20,Twokinds,...
289,2018-01-03 18:01:24,Twokinds,I hear audio
290,2018-01-03 18:01:27,Twokinds,I see audio
307,2018-01-03 18:02:39,Twokinds,I don't understand
310,2018-01-03 18:02:50,Twokinds,Nothing's changed. I see the audio meter going up and down
328,2018-01-03 18:04:11,Twokinds,How about now?
331,2018-01-03 18:04:16,Twokinds,arg
347,2018-01-03 18:05:13,Twokinds,But that doesn't make any sense! I see it...
372,2018-01-03 18:08:16,Twokinds,This doesn't make any sense...
397,2018-01-03 18:11:07,Twokinds,Welp
398,2018-01-03 18:11:12,Twokinds,No audio I guess
399,2018-01-03 18:11:14,Twokinds,Weird
404,2018-01-03 18:11:31,Twokinds,I hear it
419,2018-01-03 18:12:17,Twokinds,WAT
433,2018-01-03 18:12:39,Twokinds,I opened a second audio channel with the same settings as the first
434,2018-01-03 18:12:43,Twokinds,Now there's two playing the same thing
444,2018-01-03 18:13:17,Twokinds,I mean fine whatever works
656,2018-01-03 18:38:36,Twokinds,None of the real bouncy songs have come up yet
791,2018-01-03 18:53:04,Twokinds,Raine's ridiculously long hair makes her look like Cousin It from the back.
865,2018-01-03 19:00:28,Twokinds,"The red-haired guy's name contains letters, and no numbers or special characters."
866,2018-01-03 19:00:33,Twokinds,"There you go, another hint."
894,2018-01-03 19:01:29,Twokinds,The red-haired guy's online handle does contain many numbers
904,2018-01-03 19:02:03,Twokinds,xX420keidrankill3rXx
986,2018-01-03 19:09:59,Twokinds,:ptv-shipit:
1006,2018-01-03 19:11:07,Twokinds,Team B renamed to Raine's Harem
1038,2018-01-03 19:13:25,Twokinds,"Just wait until he finds out Trace just aquired a dog and fox too, just yesterday"
1041,2018-01-03 19:13:36,Twokinds,Now he just needs a snow leopard.
1066,2018-01-03 19:15:16,Twokinds,Maeve + a box propped up with a stick tied to a string
1159,2018-01-03 19:21:20,Twokinds,I started with a rock and stone tablet
1193,2018-01-03 19:23:08,Twokinds,"Mark Crilley? Yeah, I like his art videos."
1212,2018-01-03 19:24:28,Twokinds,"Dunno, never read the books. Just watched his videos."
1225,2018-01-03 19:25:54,Twokinds,Yeah I like listening to his tips on writing
1255,2018-01-03 19:27:59,Twokinds,Not in the mainline comics
1264,2018-01-03 19:28:53,Twokinds,Raine is full human with the ability to transform into a wolf. her parents were both humans when she was conceived.
1385,2018-01-03 19:37:27,Twokinds,The spell functions via universal truth.
1393,2018-01-03 19:37:58,Twokinds,"If Trace himself allows in an assassin disguised as a servant, the spell will still kick them out because Trace wouldn't want him in if he knew."
1452,2018-01-03 19:43:13,Twokinds,I'm not good at 3D modelling
1473,2018-01-03 19:45:09,Twokinds,"The reason is that my style has kinda shifted more to cartoony, and I feel solid stripes just look nicer this way"
1478,2018-01-03 19:45:36,Twokinds,Ahoy Moooooom!
1481,2018-01-03 19:45:48,Twokinds,Long time no see. I thought you died.
1608,2018-01-03 19:54:22,Twokinds,Nib's parents were killed in a tragic origin story accident
1636,2018-01-03 19:56:14,Twokinds,They died after taking a shortcut down Squirrelmurder Alley when leaving the theater
1645,2018-01-03 19:56:44,Twokinds,"Luckily, her mother's protection saved her from the dark squirrel's power, leaving only a scar."
1665,2018-01-03 19:57:36,Twokinds,Yeah you just can't see it. It's under the fur.
