date,user,comment
10-01-2018T00:15:45,MidnightBlue78,:ctwokinds-nibsbounce:
10-01-2018T00:16:16,CrRAR,:ctwokinds-nibsbounce:
10-01-2018T00:17:02,BluePhantom90,:ctwokinds-nibsbounce:
10-01-2018T00:19:22,MarvTheHugPharaoh,:ctwokinds-nibsbounce:
10-01-2018T00:29:56,Ordithus,:ptv-sleepy: nighty night
10-01-2018T00:30:45,CrRAR,bye ord~
10-01-2018T00:31:07,TheBeckoner,GN Ord
10-01-2018T00:31:10,TheBeckoner,also am back
10-01-2018T00:31:23,MarvTheHugPharaoh,Nighty night Ord and WB becky
10-01-2018T00:31:39,TheBeckoner,Hows everybody doin?
10-01-2018T00:31:54,MarvTheHugPharaoh,"good, how about you?"
10-01-2018T00:32:21,TheBeckoner,"Pretty good. Got a lot of work done today, kinda tired."
10-01-2018T00:32:44,TheFDdriver,i am thinking taking a nap
10-01-2018T00:33:06,TheBeckoner,Im probably gonna nap til tomorrow
10-01-2018T00:33:28,TheFDdriver,my body is starting to fail
10-01-2018T00:33:34,TheFDdriver,dang it
10-01-2018T00:33:46,TheBeckoner,I'll give it 30-45 min then Im headed to bed
10-01-2018T00:34:00,TheFDdriver,i will try too
10-01-2018T00:35:53,Twokinds,Give what
10-01-2018T00:36:16,Walphin,Hey Tom
10-01-2018T00:36:30,MidnightBlue78,hey~
10-01-2018T00:36:40,TheFDdriver,give myself a nap
10-01-2018T00:36:53,TheBeckoner,I meant I'll wait another 30-45 minutes before I go to bed ^-^
10-01-2018T00:36:56,TheFDdriver,"btw, hey Tom"
10-01-2018T00:37:10,Bgrmystr2,":ptv-greetings: Hey tom, how goes it?"
10-01-2018T00:37:28,Twokinds,Eh could be better
10-01-2018T00:37:50,TheBeckoner,What's eatin yah?
10-01-2018T00:38:37,MidnightBlue78,page giving you a lotta trouble?
10-01-2018T00:38:55,Twokinds,A little
10-01-2018T00:39:22,TheAngelsPlace,Y not tomorrow at 10?
10-01-2018T00:39:26,MidnightBlue78,:(
10-01-2018T00:39:55,TheAngelsPlace,PM
10-01-2018T00:40:14,unsteddyphoenix,Specifically the page layout?
10-01-2018T00:43:45,TheAngelsPlace,Should we go to sleep?
10-01-2018T00:43:56,TheFDdriver,nah
10-01-2018T00:44:43,Bgrmystr2,I don't sleep for another 5-6 hours lol
10-01-2018T00:45:04,TheAngelsPlace,True dat
10-01-2018T00:45:11,TheFDdriver,did you slept over the day
10-01-2018T00:45:22,Bgrmystr2,till about 3pm
10-01-2018T00:45:40,Bgrmystr2,nothing to do in the morning
10-01-2018T00:45:48,TheFDdriver,i slept only 4 hours
10-01-2018T00:45:52,Bgrmystr2,RIP
10-01-2018T00:45:56,Bgrmystr2,need to sleep mroe
10-01-2018T00:46:05,Bgrmystr2,"more, even"
10-01-2018T00:46:09,Bgrmystr2,"moar, potentially even"
10-01-2018T00:46:17,TheBeckoner,mor possibly?
10-01-2018T00:46:18,TheAngelsPlace,I’m going to go get some sleep. Peace!:ptv-victory:
10-01-2018T00:46:22,TheFDdriver,16 more hours
10-01-2018T00:46:26,TheBeckoner,Gn Angel
10-01-2018T00:46:31,MarvTheHugPharaoh,Nighty night Place
10-01-2018T00:46:35,MidnightBlue78,i like moar
10-01-2018T00:46:37,Bgrmystr2,yes beck. mre is also a possibility
10-01-2018T00:46:50,TheFDdriver,bye angel rest well
10-01-2018T00:46:52,Bgrmystr2,gnight man
10-01-2018T00:47:38,TheBeckoner,"Damn, we may as well consider remo too"
10-01-2018T00:49:09,Bgrmystr2,"I dunno, that's a bit too much"
10-01-2018T00:49:10,TheFDdriver,are you guys doing anything else?
10-01-2018T00:49:15,Bgrmystr2,maybe mroe
10-01-2018T00:49:44,Bgrmystr2,"erh, mreo*"
10-01-2018T00:49:49,Bgrmystr2,fingers are dumb :c
10-01-2018T00:50:06,Bgrmystr2,"they're stuck in their ways, I need to replace them"
10-01-2018T00:50:08,TheBeckoner,hte?
10-01-2018T00:50:19,Bgrmystr2,I don't know?
10-01-2018T00:50:22,TheFDdriver,wot
10-01-2018T00:50:25,TheBeckoner,Hmm?
10-01-2018T00:50:27,MidnightBlue78,cut those dumb fingers off
10-01-2018T00:50:28,TheBeckoner,I mean
10-01-2018T00:50:31,TheBeckoner,hmm.
10-01-2018T00:50:40,Bgrmystr2,"naw, that woud void the warranty, midnight"
10-01-2018T00:50:40,TheBeckoner,Use robit fangers
10-01-2018T00:50:47,Bgrmystr2,I need to go to the store
10-01-2018T00:50:48,Bgrmystr2,and replace them
10-01-2018T00:50:52,MidnightBlue78,who needs them anyway
10-01-2018T00:50:56,Bgrmystr2,I mean.. I do?
10-01-2018T00:51:02,TheFDdriver,me
10-01-2018T00:51:13,TheBeckoner,They are a ploy from the government
10-01-2018T00:51:26,MidnightBlue78,XD
10-01-2018T00:52:33,TheFDdriver,*yawn*
10-01-2018T00:54:34,TheBeckoner,I like my fingers
10-01-2018T00:54:37,TheBeckoner,they are
10-01-2018T00:54:45,TheBeckoner,L A R G E
10-01-2018T00:54:46,TheFDdriver,Buttr
10-01-2018T00:54:48,TheFDdriver,er
10-01-2018T00:54:52,TheBeckoner,cre
10-01-2018T00:54:53,TheBeckoner,am
10-01-2018T00:55:10,TheFDdriver,i mean Butterfingers
10-01-2018T00:55:17,TheBeckoner,oh
10-01-2018T00:55:33,TheFDdriver,damm tgi
10-01-2018T00:55:36,MidnightBlue78,Have you told your fingers you love them today?
10-01-2018T00:55:39,TheFDdriver,this fingers
10-01-2018T00:55:43,TheBeckoner,@MidnightBlue78 ecksdeemydude
10-01-2018T00:55:49,TheBeckoner,I have not
10-01-2018T00:55:54,TheFDdriver,no
10-01-2018T00:56:15,MidnightBlue78,"well, do it before its too late"
10-01-2018T00:56:44,TheFDdriver,done
10-01-2018T00:56:55,MidnightBlue78,:ctwokinds-evalswink_sparkl:
10-01-2018T00:57:12,TheBeckoner,Midnight you're almost old  ^o^
10-01-2018T00:57:24,TheFDdriver,:ok_hand:
10-01-2018T00:57:25,MidnightBlue78,:ctwokinds-zenshocked:
10-01-2018T00:57:37,MarvTheHugPharaoh,Zenny &lt;3
10-01-2018T00:57:45,TheBeckoner,:ok_hand:
10-01-2018T00:57:58,MidnightBlue78,I am going to pretend like I didn't see that
10-01-2018T00:57:59,TheFDdriver,noice
10-01-2018T00:58:07,TheBeckoner,The ok hand?
10-01-2018T00:58:31,MidnightBlue78,the 'almost old'
10-01-2018T00:58:43,TheFDdriver,dont get it
10-01-2018T00:58:44,TheBeckoner,Oh
10-01-2018T00:58:46,TheBeckoner,well
10-01-2018T00:58:48,MidnightBlue78,no
10-01-2018T00:59:07,TheBeckoner,no...?
10-01-2018T00:59:08,MidnightBlue78,"Oh, wait"
10-01-2018T00:59:19,MidnightBlue78,nevemind ...
10-01-2018T00:59:20,TheBeckoner,wot r u doin
10-01-2018T00:59:41,TheFDdriver,me?
10-01-2018T00:59:48,MidnightBlue78,Huh?
