date,user,comment
12-04-2018T07:45:35,RepeaterLanes,est throws me off. friday 9pm est is saturday 9am sgt
12-04-2018T08:15:21,NightMeaty22,good morning
12-04-2018T08:21:18,RepeaterLanes,its 921 pm here
12-04-2018T09:25:19,MidnightBlue78,:ptv-condescending:
12-04-2018T15:44:20,Vatruvius,Hello everyone! :ptv-greetings:
12-04-2018T15:46:23,CrimsonFall,hellou~
12-04-2018T15:50:58,Vatruvius,Anyone willing to do my homework for me? :ptv-hearts:
12-04-2018T15:54:07,CrimsonFall,what is it
12-04-2018T15:55:50,Vatruvius,A blog post where you have to answer 6 questions on agriculture with research supporting your responses.
12-04-2018T15:57:25,CrimsonFall,"i could easily use my college database to answer them, but Im more of a math guy"
12-04-2018T15:57:40,CrimsonFall,gl thou
12-04-2018T15:57:42,CrimsonFall,^_^
12-04-2018T15:58:11,Vatruvius,I can use my college database too but it is not that type of research luckily...just valid research to support some of the points you make.
12-04-2018T16:01:14,CrimsonFall,researching is not my favorite thing......I preferred math and scince
12-04-2018T16:01:51,CrimsonFall,science* (this is what I mean)
12-04-2018T16:02:49,Bgrmystr2,"that's not exactly good for Vatru tho, cuz they should be doin that homework themselves. :P"
12-04-2018T16:03:27,Vatruvius,Who should be doing what homework themselves?
12-04-2018T16:04:27,Bgrmystr2,"See? If you did homework yourself, you'd see that ""Vatru"" was the subject of the sentence, meaning you. :P"
12-04-2018T16:04:53,Vatruvius,"Agh...the class lesson this week watching the Food, Inc. movie. I already watched this thing years ago...not to mention the worksheet that goes with it to make sure you watch it...agh!"
12-04-2018T16:05:42,Vatruvius,"I read ""they"" as plural...still getting used to that term being used to identify an individual."
12-04-2018T16:05:47,JamesBSquirrel3,"Hi, I'm new me. May I have question; What time on live-stream strats in UK Time from 9 PM of EST Time on? Do you or someone will know?:thinking:"
12-04-2018T16:06:44,Vatruvius,Google it...what time is it in EST and it should pop you. You can do the math from there.
12-04-2018T16:06:53,Vatruvius,up* not you
12-04-2018T16:07:39,Bgrmystr2,"I'm not in UK, but you can just find out by lookin it up."
12-04-2018T16:07:41,CrimsonFall,good thing am in the Est time zone
12-04-2018T16:08:34,Vatruvius,So lookkng forwatd to eatchinh this depresding movie again! :ptv-excited::ptv-unimpressed:
12-04-2018T16:09:09,Vatruvius,Ignore my phone's autocorrect please...*facepalm*
12-04-2018T16:09:55,Bgrmystr2,I can't ignore it if you keep it on :P
12-04-2018T16:11:17,Vatruvius,Not sure how to turn it off...
12-04-2018T16:40:55,DRAGONTANOPUG,Im really surprised there was no week stream
12-04-2018T16:41:07,DRAGONTANOPUG,But i missed a lot if the sunday sketch one
12-04-2018T16:41:57,Bgrmystr2,"it happens, tom was probably busy"
12-04-2018T16:45:20,DRAGONTANOPUG,What was the last 4 sketchs om sunday
12-04-2018T16:47:53,Bgrmystr2,tom already posted em on patreon bro
12-04-2018T16:48:02,Bgrmystr2,"all the sketches, or most of em"
12-04-2018T16:48:24,DRAGONTANOPUG,Oh right
12-04-2018T17:13:39,Vatruvius,I hate this class...:ptv-angry:
12-04-2018T17:17:13,DRAGONTANOPUG,What vlass
12-04-2018T17:17:19,DRAGONTANOPUG,Lol vlass
12-04-2018T17:19:06,Vatruvius,Got it wrong twice. class*
12-04-2018T17:19:43,Vatruvius,My environmental studies class...every week it just makes me more mad at the system and multinational corporations.
12-04-2018T17:29:31,SpazztasticKiwi,I wonder - since Tom’s been off for the past few days - if his internet is out or being fuzzy
12-04-2018T17:29:40,Vatruvius,Oh god...one of my least favorite scenes in the entire film...just fotmd a pit in my stomach. :ptv-confused:
12-04-2018T17:29:57,SpazztasticKiwi,There’s been some pop up storms and weird weather
12-04-2018T17:30:10,Vatruvius,That is a possibility Kiwi...also hello! :ptv-greetings:
12-04-2018T17:30:53,SpazztasticKiwi,😋🙌🏻
12-04-2018T17:32:36,SpazztasticKiwi,"Also, I went into town today and saw a guys who’s truck’s exhaust pipe sounded like two pieces of metal clacking together"
12-04-2018T17:32:56,SpazztasticKiwi,Not sure if it meant he needed a mechanic or if it was cosmetic
12-04-2018T17:33:19,Vatruvius,Probably both. :ptv-laugh:
12-04-2018T17:35:21,SpazztasticKiwi,"Also had another guy pull up next to me in a McDonald’s exit. Could not see past him, his truck was so high. And I was in an SUV myself"
12-04-2018T17:36:25,Vatruvius,I honestly need to hear more happy things...this movie is just going to give me five heart attacks.
12-04-2018T17:37:22,SpazztasticKiwi,How bout this then: the dude in the big truck looked barely tall enough to be over the steering wheel
12-04-2018T17:38:20,Vatruvius,Hahaha...:ptv-ohmy::ptv-laugh:
12-04-2018T17:38:25,SpazztasticKiwi,He was still stretching to look both ways despite being several feet off the ground already
12-04-2018T17:39:23,SpazztasticKiwi,"It was a pretty truck though, I admit. Just don’t feel that the guy in it was ready for something so huge"
12-04-2018T17:40:10,Vatruvius,One would say he is compensating for something.
12-04-2018T17:41:22,SpazztasticKiwi,"Seeing as though he looked at the most, in order to make him legal to drive anyway, 16, I’d say so"
12-04-2018T17:42:26,Vatruvius,Hmm...:ptv-wondering:
12-04-2018T17:42:31,SpazztasticKiwi,I know a kid about to graduate that has a taller than necessary truck that he’s had since I left high school (he was a freshman at the time)
12-04-2018T17:43:31,Vatruvius,Yeah...something going on there.
12-04-2018T17:43:35,SpazztasticKiwi,I’m pretty sure I’ve noticed that thing get ever so slightly taller over those years. And the rims look different too
12-04-2018T17:44:10,Vatruvius,lol
12-04-2018T17:44:39,SpazztasticKiwi,I know someone who’s lift kit backfired on them though
12-04-2018T17:44:54,Vatruvius,How did that go?
12-04-2018T17:45:27,SpazztasticKiwi,"They hit a pot hole hard, causing their truck to lose control and go into a ditch. The lifted tires went sideways mid-crash and caused a roll over"
12-04-2018T17:46:16,Vatruvius,Hahaha...that'll teach ya to modify your car way more than is necessary.
12-04-2018T17:47:04,DRAGONTANOPUG,Ya boi got a new sourround sound system and broke it after blasting it
12-04-2018T17:47:35,SpazztasticKiwi,"The truck was basically totaled, though it was just crushed in places, and the tires were obviously screwed"
12-04-2018T17:48:10,Vatruvius,Wow...
12-04-2018T17:48:28,SpazztasticKiwi,"The people were pretty much ok because the truck’s frame gave, but didn’t break. Steel I think"
12-04-2018T17:49:44,Vatruvius,Yeah...
12-04-2018T17:51:11,SpazztasticKiwi,"Unfortunately I do know someone who’s truck failed them. 5 months after we graduated, and 1 month after his 19th birthday, a guy from my class fell asleep at the wheel"
12-04-2018T17:51:22,SpazztasticKiwi,Hit a tree going 70
12-04-2018T17:51:56,Vatruvius,Wow...did he survive?
12-04-2018T17:52:26,SpazztasticKiwi,The tree landed on the driver’s side and crushed him
12-04-2018T17:52:46,Vatruvius,The tree fell over?
12-04-2018T17:52:52,SpazztasticKiwi,Yep
12-04-2018T17:54:14,Vatruvius,Did he make it okay?
12-04-2018T17:54:24,SpazztasticKiwi,"Closed casket funeral. I don’t know if it killed him instantly, but I hope it did. The crash is estimated at about 2 a.m., and he was found later"
12-04-2018T17:55:07,Vatruvius,Man...sorry to hear that.
12-04-2018T17:56:01,SpazztasticKiwi,I didn’t know him well at all. His mother was one of my nurses from when I was younger
12-04-2018T17:56:54,Vatruvius,I got in a wreck once...abot two years ago on an interstate in the fast lane. All the traffic was stopped and I was rounding a turn over a hill. I had enough time to slow down to 35. Ended up hitting 3 cars...no injuries. Scarest moment of my life...took
12-04-2018T17:57:06,Vatruvius,about a year to get over it.
12-04-2018T17:57:28,SpazztasticKiwi,"But no one expected me to show at the funeral. They seemed surprised I showed. And the thing is, it was because he was a really nice guy. I may not have ever made friends with him, but I could have a decent conversation with him"
12-04-2018T17:59:14,Vatruvius,"Someone in my middleschool, Hayden...got in a hunting accident. Tripped and fell on his rifle...he didn't make it. He was also alone most of the time...he transfered so he had no friends and everyone was alreafy established."
12-04-2018T17:59:39,SpazztasticKiwi,The friends there (mostly other classmates - he was in sports) evidently thought closer people would show and not much else
12-04-2018T18:00:10,SpazztasticKiwi,Also 35 is probably why no one got hurt
12-04-2018T18:00:57,Vatruvius,"At his funeral the entire 6th, 7th, and 8th grade went to his funeral save for a few people including myself. I wantef to go but my parents said no...I guess I wanted to go because I felt guilty not tryibg to be friends with him. It was a low point on the"
12-04-2018T18:01:30,Vatruvius,entire school. We even held a ceromony and planted a school tree in his name.
12-04-2018T18:01:36,SpazztasticKiwi,It’s death that unites us most often
12-04-2018T18:01:41,Bgrmystr2,"You've got some heartless parents, Vatru"
12-04-2018T18:01:43,Bgrmystr2,I'll say that
12-04-2018T18:01:58,tehbear,i just joined. read a bit of chat and was about to say the same
12-04-2018T18:02:23,SpazztasticKiwi,"After our classmate’s death, everyone was immediately nicer to each other"
