date,user,comment
31-03-2018T04:41:52,NightMeaty22,hello?
31-03-2018T04:45:18,Bgrmystr2,Noone's home. Try next door.
31-03-2018T04:50:04,hunter117x,when does the stream start
31-03-2018T04:51:14,BadFoMo,More or less 4:00 PM EST.
31-03-2018T04:51:22,hunter117x,thanks
31-03-2018T04:51:24,Bgrmystr2,Schedule is at the top of the chat as always.
31-03-2018T11:08:10,Vatruvius,lol...there are far too many people that ask that Bgr.
31-03-2018T13:05:18,Bgrmystr2,"Tis why my answer will always be the same, Vatru."
31-03-2018T13:05:26,Bgrmystr2,It's been there for over a year I think
31-03-2018T13:05:29,Bgrmystr2,same place.
31-03-2018T13:34:16,TheBeckoner,Too many mobile noobs
31-03-2018T13:51:15,Bgrmystr2,for all the people who think they can just use a phone or tablet and replace their home computer.. this is one of of the many examples they are wrong
31-03-2018T13:51:40,Bgrmystr2,a simple ease of access
31-03-2018T13:51:44,Bgrmystr2,a lack of question needed
31-03-2018T14:16:23,Twokinds,"Darn you, Easter"
31-03-2018T14:16:52,Twokinds,My family said their wasn't any plans but then last minute messaged me inviting me over at 6.
31-03-2018T14:16:52,Bgrmystr2,:thinking:
31-03-2018T14:16:59,Twokinds,Now I'm not sure what to do.
31-03-2018T14:17:31,ThingsAreMoving,do what you want
31-03-2018T14:17:38,ThingsAreMoving,it's not like we will hold a grudge
31-03-2018T14:17:43,Bgrmystr2,right
31-03-2018T14:17:45,ThingsAreMoving,it's easter
31-03-2018T14:17:49,Tylertt,It's your coice at the end of the day
31-03-2018T14:18:04,WereKeidran,Hello y'all
31-03-2018T14:18:05,Twokinds,We do have one extra week this month
31-03-2018T14:18:17,Twokinds,It's 4 sundays in March
31-03-2018T14:18:21,Twokinds,I mean April
31-03-2018T14:18:46,Bgrmystr2,hey Were
31-03-2018T14:19:25,Bgrmystr2,I'm sure the community won't mind if delay today's stream or whatever
31-03-2018T14:19:46,Bgrmystr2,"doesn't bother me any, it is Easter after all"
31-03-2018T14:19:58,ThingsAreMoving,:ctwokinds-nibsbounce:
31-03-2018T14:20:19,Twokinds,I'm also sad I never got to draw Nibbly as a bunny
31-03-2018T14:20:30,Twokinds,The whole thing just snuck up on me
31-03-2018T14:20:55,NeonMitsumi,Don't worry Tom. Go spend time with the family! ^-^
31-03-2018T14:21:07,Bgrmystr2,I mean.. it only happens every single year.. :P
