date,user,comment
31-12-2017T00:00:02,Twokinds,:ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance:
31-12-2017T00:00:02,CrRAR,:ctwokinds-sleepoverA::ctwokinds-sleepoverB:
31-12-2017T00:00:03,TheBeckoner,:boom: Happy New Year! :boom:
31-12-2017T00:00:03,MidnightBlue78,🎇✨🎆🎇✨🎆🎇✨🎆
31-12-2017T00:00:04,RandomTKLover,Happy New hear!!!!!!!!!!!
31-12-2017T00:00:13,MidnightBlue78,:ctwokinds-nibsbounce::ctwokinds-nibsdance:
31-12-2017T00:00:19,RandomTKLover,Hear?
31-12-2017T00:00:23,MidnightBlue78,Happy New Year guys!!!!!!
31-12-2017T00:00:25,TheBeckoner,(Still 2017 here lol)
31-12-2017T00:00:26,CrRAR,We made eeeet!
31-12-2017T00:00:33,CrRAR,Happy New Year!
31-12-2017T00:00:37,RandomTKLover,"I started the year with a typo, oh noooooo"
31-12-2017T00:00:43,MidnightBlue78,"Tom, happy New Year!!!!!"
31-12-2017T00:00:56,Twokinds,Happy New Year everybody
31-12-2017T00:01:02,TheBeckoner,Happy New year er body
31-12-2017T00:01:03,CrRAR,yaaaay
31-12-2017T00:01:05,CrRAR,2018
31-12-2017T00:01:09,MidnightBlue78,Thanks!!!!!
31-12-2017T00:01:20,CrRAR,yippee
31-12-2017T00:01:27,TheBeckoner,2017 :pensive:
31-12-2017T00:01:28,CrRAR,2017 + 1 achieved!
31-12-2017T00:01:29,MidnightBlue78,"I wish you happiness, success, and many blessings this new year"
31-12-2017T00:01:40,MidnightBlue78,for Tom and everyone else
31-12-2017T00:01:49,TheBeckoner,Thanks midnight
31-12-2017T00:01:55,CrRAR,:ctwokinds-rainehappy:
31-12-2017T00:01:56,MidnightBlue78,:ctwokinds-nibsbounce::ctwokinds-nibsdance::ctwokinds-nibsbounce::ctwokinds-nibsdance::ctwokinds-nibsbounce::ctwokinds-nibsdance::ctwokinds-nibsbounce::ctwokinds-nibsdance:
31-12-2017T00:02:18,unsteddyphoenix,happy new year guys~
31-12-2017T00:02:21,unsteddyphoenix,ya made it
31-12-2017T00:02:33,MidnightBlue78,"yeah, we did!!!"
31-12-2017T00:02:33,ZizzoGaming,2018.exe *[                                                              ]
31-12-2017T00:02:37,TheBeckoner,58min
31-12-2017T00:02:43,MidnightBlue78,Thanks unsteddy-O
31-12-2017T00:02:57,unsteddyphoenix,:ctwokinds-nibsbounce::ctwokinds-evalswink_sparkl::ctwokinds-nibsbounce:
