date,user,comment
31-12-2019T00:00:10,CrRAR,:ccrrar-reni:*[HNY!!!]
31-12-2019T00:00:19,AspiringNoodle,HAPPY NEW YEEEEEEEAAAAAAAAAAAAAR!!!
31-12-2019T00:17:01,BadFoMo,Happy New Year!
31-12-2019T00:37:01,CrRAR,:3
31-12-2019T03:57:52,JojoF2415,I finally beat God Eater easy from geometry dash. My worst fail was 93% and 97%. I was so mad to the point it drove me insane and nearly cried
31-12-2019T03:58:19,JojoF2415,I beat it 9 minutes before 2020
31-12-2019T04:31:46,Sammit,Happy new year everybody!
31-12-2019T04:42:10,JojoF2415,Happy new year
31-12-2019T06:20:16,TerraTheWizard,:ctwokinds-kingtea:
31-12-2019T10:12:37,AspiringNoodle,"Gonna be a fun, sleep-deprived work day"
31-12-2019T10:12:45,AspiringNoodle,But at least I'l get many things done @w@
31-12-2019T11:37:56,HoverdudeXL,Happy new years
31-12-2019T12:00:15,NibblyBot,New Patreon Post: Christmas Party https://www.patreon.com/posts/christmas-party-32731004
31-12-2019T12:00:51,NibblyBot,New Deviantart Post: Christmas Party https://www.deviantart.com/twokinds/art/Christmas-Party-825238269
31-12-2019T12:16:11,AspiringNoodle,"Flora's thoughts at that moment: ""MEEEEEEEEAAAAAAAAAAT."""
31-12-2019T12:19:41,TerraTheWizard,:ctwokinds-maddiessparkles:
31-12-2019T12:19:52,JojoF2415,Hello
31-12-2019T12:20:04,AspiringNoodle,jOJO
31-12-2019T12:20:09,AspiringNoodle,I has new challenge for you
31-12-2019T12:20:14,JojoF2415,Hi noodle
31-12-2019T12:20:43,AspiringNoodle,No-hit SL1 run in DS1
31-12-2019T12:20:52,AspiringNoodle,"All bosses, even optional / dlc ones :P"
31-12-2019T12:21:11,JojoF2415,?
31-12-2019T12:21:37,AspiringNoodle,Look it up ;)
31-12-2019T12:22:42,JojoF2415,I don’t play that game
31-12-2019T12:24:20,AspiringNoodle,Well then
31-12-2019T12:24:30,AspiringNoodle,I shall find something to make you wish it was God Eater on easy xD
31-12-2019T12:24:57,JojoF2415,That was the name of a level in Geometry Dash
31-12-2019T12:25:50,AspiringNoodle,"I know, I'm trying to find something equally frustrating in a different game"
31-12-2019T12:25:56,JojoF2415,"About 7 months with 11,521 attempts. Those fails hurt me so hard"
31-12-2019T12:26:17,AspiringNoodle,"The first thing I mentioned, 100% Expert Through the Fire and Flames, Doom (2016) Ultra-Nightmare"
31-12-2019T12:26:51,JojoF2415,I play Pokémon and Minecraft as well
31-12-2019T12:27:53,JojoF2415,Geometry dash is super frustrating and gets me nervous
31-12-2019T12:28:11,AspiringNoodle,Beat pokemon only with a first stage bug pokemon :P
31-12-2019T12:28:36,AspiringNoodle,"You could use a level 100 Caterpie and it would count, lol"
31-12-2019T12:28:39,JojoF2415,I heated Pokémon in 1 minute
31-12-2019T12:28:45,JojoF2415,Beated
31-12-2019T12:30:53,JojoF2415,Seems like someone hated the fact that I beated god eater easy before new years
31-12-2019T12:31:51,JojoF2415,Which I don’t under stand because my profile comment about that level has 2 likes
31-12-2019T14:08:54,RimaDraws,hi
31-12-2019T14:22:41,JojoF2415,Hello
31-12-2019T14:27:03,TerraTheWizard,:ctwokinds-nibrun::ctwokinds-nibrun::ctwokinds-nibrun:
31-12-2019T14:52:32,Twokinds,:ctwokinds-cashmoney:
31-12-2019T14:52:42,Twokinds,2020 baby!
31-12-2019T14:53:12,iliar,Happy New Year!
31-12-2019T14:54:25,Twokinds,Thanks!
31-12-2019T15:10:11,SpazztasticKiwi,yet my vision is still buffering like 90s Internet
31-12-2019T15:13:12,TerraTheWizard,:ctwokinds-nibsbounce:
31-12-2019T15:13:16,CrRAR,:ctwokinds-nibsbounce:
31-12-2019T15:15:02,Twokinds,:ctwokinds-nibsbounce:
31-12-2019T15:20:34,SpazztasticKiwi,Tom any groundshattering events happen at midnight?
31-12-2019T15:21:09,SpazztasticKiwi,happy new of years
31-12-2019T15:21:16,SpazztasticKiwi,we had people set off dynamite
31-12-2019T15:37:36,CrRAR,:boom:
31-12-2019T15:38:05,CrRAR,"Fireworks here, of course."
31-12-2019T15:44:09,Twokinds,nop
31-12-2019T15:50:17,SpazztasticKiwi,case of 11:58......11:59......12:00 🦗🦗🦗
31-12-2019T16:15:17,CrimsonQuill,Happy New Year everyone!
31-12-2019T16:21:48,CrimsonQuill,How are you all?
31-12-2019T16:24:36,TeapotOfDoom,Happy new year to you too!
31-12-2019T16:24:51,CrimsonQuill,Heya Teapot!
31-12-2019T16:24:56,TeapotOfDoom,Lazy evening atm. Maybe gonne doodle a bit
31-12-2019T16:25:10,CrimsonQuill,Came in from qork about 8:00pm
31-12-2019T16:25:11,CrimsonQuill,work
31-12-2019T16:25:15,CrimsonQuill,Two days off tomorrow
31-12-2019T16:25:22,CrimsonQuill,And Friday
31-12-2019T16:25:30,CrimsonQuill,"Then Weekend working, and Exam Monday"
31-12-2019T16:25:33,TeapotOfDoom,And i have to ask: Dynamite? Why Dynamite?
31-12-2019T16:25:50,CrimsonQuill,scrolls up to find Dynamite
31-12-2019T16:25:54,CrimsonQuill,...Oh...
31-12-2019T16:26:32,TeapotOfDoom,Yeah i have to start doing uni stuff as well. I've got a lot to do
31-12-2019T16:27:07,TeapotOfDoom,First thing before drawing: get a to do list going
31-12-2019T16:27:20,CrimsonQuill,XD
31-12-2019T16:35:56,CrimsonQuill,Anyway
31-12-2019T16:36:00,CrimsonQuill,I have a chapter to read
31-12-2019T16:36:02,CrimsonQuill,Goodnight
31-12-2019T16:40:29,TeapotOfDoom,night quill
31-12-2019T16:40:46,TeapotOfDoom,todo list done
31-12-2019T16:40:51,TeapotOfDoom,wooboy
31-12-2019T16:56:59,SpazztasticKiwi,I asked why dynamite too
31-12-2019T16:57:09,SpazztasticKiwi,my sister muttered “rednecks”
31-12-2019T16:57:17,SpazztasticKiwi,and you know what
31-12-2019T16:57:20,SpazztasticKiwi,she’s right
31-12-2019T17:01:38,TeapotOfDoom,lol
31-12-2019T17:06:55,CrRAR,That and the great big earth-shattering kaboom.
31-12-2019T17:07:32,CrRAR,Rednecks in cahoots with the aliens obvs.
31-12-2019T17:11:01,Dadrobit,Happy new year y'all!
31-12-2019T17:21:16,JojoF2415,Happy new year
31-12-2019T17:23:56,CrRAR,Happy new year~
31-12-2019T17:25:24,Dadrobit,Any good resolutions?
31-12-2019T17:26:16,Dadrobit,Zero soda and keep sugary drinks to an absolute minimum if any at all all year.
31-12-2019T17:26:36,Dadrobit,Found I was imbibing in them a bit much in the last few months.
31-12-2019T17:26:42,Dadrobit,Gotta cut that shit out.
31-12-2019T17:29:31,SpazztasticKiwi,aunt and uncle did that one year
31-12-2019T17:30:05,SpazztasticKiwi,he lost ~50 pounds
31-12-2019T17:31:13,Dadrobit,"For real, sugar is the devil"
31-12-2019T17:32:21,SpazztasticKiwi,they also started drinking nothing but water
31-12-2019T17:33:12,Dadrobit,"Ever since about Halloween - Thanksgiving, my residents have been showering me and my fellow guards with sodas and chocolate, I've gained like 7-8 pounds. No bueno."
31-12-2019T17:33:24,SpazztasticKiwi,he’s still got problems though
31-12-2019T17:33:33,SpazztasticKiwi,had a heart attack a bit ago
31-12-2019T17:33:57,SpazztasticKiwi,despite the weight loss and watching his diet now
31-12-2019T17:34:28,Dadrobit,"Yeah, I feel that. Heath problems are slow to happen, then they suck like hell and are slow to resolve."
31-12-2019T17:35:07,Dadrobit,Couple two or three years ago I found out I have a bad case of NAFLD (Non-Alcoholic Fatty Liver Disease)
31-12-2019T17:36:06,Dadrobit,"Turns out, even though I'm active and don't really drink all that often, just because I've eaten like shit for most of my life, the crap my liver's had to clean has screwed it over as if I were a deep alcoholic."
31-12-2019T17:36:31,Dadrobit,All those 20 cent burritos and dollar menu chicken sandwiches man.
31-12-2019T17:36:55,SpazztasticKiwi,my dad had issues and medicine and then a surgery that made it impossible to throw up
31-12-2019T17:36:55,TeapotOfDoom,damn
31-12-2019T17:37:05,SpazztasticKiwi,and was not to drink
31-12-2019T17:37:12,SpazztasticKiwi,guess what he did anyway
31-12-2019T17:37:24,TeapotOfDoom,damn
31-12-2019T17:37:26,Dadrobit,Doc says most folks in America have it and don't even know because we consume so much craptastic fast food.
31-12-2019T17:37:54,Dadrobit,Drink?
31-12-2019T17:37:56,TeapotOfDoom,well good thing i' a responsible adult who eats way to many choclates
31-12-2019T17:38:22,TeapotOfDoom,should really cut down on that. sounds like a good resolution
31-12-2019T17:38:24,SpazztasticKiwi,liquor
31-12-2019T17:38:43,SpazztasticKiwi,still had a good stock in the cabinet when he died
31-12-2019T17:39:15,TeapotOfDoom,shit
31-12-2019T17:40:52,Dadrobit,"Yeah, I don't do giant lifestyle change resolutions. Too unreliable. But just cutting one or two things out like soda and sugared coffee? Easy. just don't buy it."
31-12-2019T17:41:57,Dadrobit,Maybe I can finally break that 179 mark \o/
31-12-2019T17:43:32,Dadrobit,Currently 195. Feels bad approaching 200 again.
31-12-2019T17:44:14,TeapotOfDoom,uhhh
31-12-2019T17:44:58,TeapotOfDoom,so about 90kg
31-12-2019T17:45:24,TeapotOfDoom,sry had to convert
31-12-2019T17:45:37,Dadrobit,"NP, I get it"
31-12-2019T17:45:58,SpazztasticKiwi,oh boi 179 kg
31-12-2019T17:46:05,Dadrobit,Oof
31-12-2019T17:46:07,SpazztasticKiwi,lord he commin
31-12-2019T17:46:48,SpazztasticKiwi,you know there was a man about 400+ lbs that I saw featured once
31-12-2019T17:47:26,SpazztasticKiwi,"he was so depressed cause of how he looked and believed he was going to die early, there was nothing he could do, and he’d just lost his dad"
31-12-2019T17:47:38,SpazztasticKiwi,didn’t believe his fiancée could love him
31-12-2019T17:48:32,SpazztasticKiwi,and then he saw a “20 pounds in a month” sort of ad for a gym and decided “you know what”
31-12-2019T17:49:19,SpazztasticKiwi,lost ~200 lbs & I don’t know the guy but I. am. proud.
31-12-2019T17:51:17,Dadrobit,Biggest I ever got was 235. Dude lost as much weight as I was ever as a big person.
31-12-2019T17:51:35,TeapotOfDoom,wow losing that much is not bad
